ORDEN,ID,Fuente,PERIODO,COMISARIA,FECHA,HORA,TIPO_COLISION,TIPO_HECHO,LUGAR_DEL_HECHO,DIRECCION_NORMALIZADA,TIPO_DE_CALLE,Dirección Normalizada (ArcGIS),Calle,Altura,Cruce,Código de Calle,Código de Cruce,Geocodificación,Franja horaria,Día de la semana,Semestre,repetido,Franja etaria acusado,Franja etaria victima
434,1,POLICIA FEDERAL 2015,ENERO,38,01/01/2015,7:10:00 AM,VEHICULO - VEHICULO,COLISION,2850 YERBAL,YERBAL 2850,CALLE,2850 YERBAL,YERBAL,2850,0,26003,0,POINT(99434.1139023 99998.2519356),0,Thursday,0,0,1,3
388,2,POLICIA FEDERAL 2015,ENERO,12,01/01/2015,6:30:00 AM,VEHICULO - VEHICULO,COLISION,AV RIVADAVIA Y PAYSANDU,RIVADAVIA AV. y PAYSANDU,AVENIDA,RIVADAVIA AV. & PAYSANDU,RIVADAVIA AV.,0,PAYSANDU,19046,17040,POINT(101493.6171875 100707.9453125),0,Thursday,0,0,2,3
241,3,POLICIA FEDERAL 2015,ENERO,32,01/01/2015,5:15:00 PM,VEHICULO - MOTO,COLISION,AV. CASEROS 3400,CASEROS AV. 3400,AVENIDA,3400 CASEROS AV.,CASEROS AV.,3400,0,3085,0,POINT(104608.755311 98976.5988083),0,Thursday,0,0,0,3
242,3,POLICIA FEDERAL 2015,ENERO,32,01/01/2015,5:15:00 PM,MOTO - MOTO,COLISION,AV. CASEROS 3400,CASEROS AV. 3400,AVENIDA,3400 CASEROS AV.,CASEROS AV.,3400,0,3085,0,POINT(104608.755311 98976.5988083),0,Thursday,0,1,0,3
173,4,POLICIA FEDERAL 2015,ENERO,23,01/01/2015,7:20:00 AM,VEHICULO - MOTO,COLISION,AV. SARMIENTO Y BAJADA AUTOPISTA ILLIA,SARMIENTO AV. y AUTOPISTA ARTURO ILLIA,AVENIDA + AUTOPISTA,SARMIENTO AV. & AUTOPISTA ARTURO ILLIA,SARMIENTO AV.,0,AUTOPISTA ARTURO ILLIA,20075,99483,POINT(105335.21904752 106893.095834542),0,Thursday,0,0,1,4
647,5,POLICIA FEDERAL 2015,ENERO,48,01/01/2015,3:25:00 AM,VEHICULO - PEATON,ATROPELLO,AV.EVA PERON Y GUAMINI,"PERON, EVA AV. y GUAMINI",AVENIDA,"PERON, EVA AV. & GUAMINI","PERON, EVA AV.",0,GUAMINI,4056,7088,POINT(96827.3828125 95280.375),1,Thursday,0,0,0,3
390,6,POLICIA FEDERAL 2015,ENERO,12,01/01/2015,3:00:00 AM,VEHICULO - MOTO,COLISION,CACHIMAYO Y AV EVA PERON,"CACHIMAYO y PERON, EVA AV.",AVENIDA,"CACHIMAYO & PERON, EVA AV.",CACHIMAYO,0,"PERON, EVA AV.",3013,4056,POINT(102044.4921875 99901.6171875),1,Thursday,0,0,999,3
389,7,POLICIA FEDERAL 2015,ENERO,12,01/01/2015,10:00:00 AM,VEHICULO - VEHICULO,COLISION,J.M.MORENO Y SARAZA,"MORENO, JOSE MARIA AV. y SARAZA",AVENIDA,"MORENO, JOSE MARIA AV. & SARAZA","MORENO, JOSE MARIA AV.",0,SARAZA,13128,20073,POINT(102880.46875 99017.5625),0,Thursday,0,0,0,4
332,8,POLICIA FEDERAL 2015,ENERO,37,01/01/2015,8:20:00 AM,VEHICULO - MOTO,COLISION,MANUEL UGARTE Y PLAZA,,CALLE,,,,,,,,0,Thursday,0,0,999,2
680,9,POLICIA FEDERAL 2015,ENERO,52,01/01/2015,12:50:00 AM,VEHICULO - MOTO,COLISION,MURGUIONDO 4611,MURGUIONDO 4611,CALLE,4611 MURGUIONDO,MURGUIONDO,4611,0,13145,0,POINT(99266.2554709 94323.1059723),1,Thursday,0,0,0,3
304,10,POLICIA FEDERAL 2015,ENERO,31,01/01/2015,11:45:00 PM,VEHICULO - VEHICULO,COLISION,OLLEROS Y SDO DE LA INDPCIA,OLLEROS AV. y SOLDADO DE LA INDEPENDENCIA,AVENIDA,OLLEROS AV. & SOLDADO DE LA INDEPENDENCIA,OLLEROS AV.,0,SOLDADO DE LA INDEPENDENCIA,16022,20103,POINT(102279.6953125 107108.3671875),1,Thursday,0,0,999,6
305,10,POLICIA FEDERAL 2015,ENERO,31,01/01/2015,11:45:00 PM,VEHICULO - VEHICULO,COLISION,OLLEROS Y SDO DE LA INDPCIA,OLLEROS AV. y SOLDADO DE LA INDEPENDENCIA,AVENIDA,OLLEROS AV. & SOLDADO DE LA INDEPENDENCIA,OLLEROS AV.,0,SOLDADO DE LA INDEPENDENCIA,16022,20103,POINT(102279.6953125 107108.3671875),1,Thursday,0,1,999,6
38,11,POLICIA FEDERAL 2015,ENERO,4,01/01/2015,2:20:00 AM,VEHICULO - MOTO,COLISION,PIEDRAS & AVDA INDEPENDENCIA,PIEDRAS e INDEPENDENCIA AV.,AVENIDA,PIEDRAS & INDEPENDENCIA AV.,PIEDRAS,0,INDEPENDENCIA AV.,17078,9010,POINT(107881.8046875 101307.671875),1,Thursday,0,0,999,2
172,12,POLICIA FEDERAL 2015,ENERO,23,01/01/2015,2:50:00 AM,VEHICULO - VEHICULO,COLISION,SALGUERO Y CHONINO,"SALGUERO, JERONIMO y CHONINO",CALLE,"SALGUERO, JERONIMO & CHONINO","SALGUERO, JERONIMO",0,CHONINO,20012,3241,POINT(105552.8046875 106098.9921875),1,Thursday,0,0,0,2
1083,13,POLICIA FEDERAL 2015,FEBRERO,37,01/02/2015,5:10:00 PM,VEHICULO - MOTO,COLISION,AV. BALBIN Y MONROE,"BALBIN, RICARDO, DR. AV. y MONROE",AVENIDA,"BALBIN, RICARDO, DR. AV. & MONROE","BALBIN, RICARDO, DR. AV.",0,MONROE,4053,4111,POINT(99707.171875 107441.3671875),0,Sunday,0,0,2,3
1182,13,POLICIA FEDERAL 2015,FEBRERO,37,01/02/2015,5:10:00 PM,VEHICULO - MOTO,COLISION,AV. BALBIN Y MONROE,"BALBIN, RICARDO, DR. AV. y MONROE",AVENIDA,"BALBIN, RICARDO, DR. AV. & MONROE","BALBIN, RICARDO, DR. AV.",0,MONROE,4053,4111,POINT(99707.171875 107441.3671875),0,Sunday,0,1,2,3
887,14,POLICIA FEDERAL 2015,FEBRERO,19,01/02/2015,6:00:00 PM,SIN DATOS,SIN DATOS,AV. FIGUEROA ALCORTA Y AV. PUEYRREDON,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",AVENIDA,"FIGUEROA ALCORTA, PRES. AV. & PUEYRREDON AV.","FIGUEROA ALCORTA, PRES. AV.",0,PUEYRREDON AV.,6025,17132,POINT(106673.453125 104998.953125),0,Sunday,0,0,2,3
997,15,POLICIA FEDERAL 2015,FEBRERO,32,01/02/2015,11:15:00 PM,MOTO - MOTO,COLISION,AV. IRIARTE 3750,"IRIARTE, GRAL. AV. 3750",AVENIDA,"3750 IRIARTE, GRAL. AV.","IRIARTE, GRAL. AV.",3750,0,9017,0,POINT(105848.154425 97592.2432194),1,Sunday,0,0,0,2
1030,16,POLICIA FEDERAL 2015,FEBRERO,27,01/02/2015,8:30:00 PM,VEHICULO - MOTO,COLISION,AV. JUAN B JUSTO Y MUÑECAS,"JUSTO, JUAN B. AV. y MUÑECAS",AVENIDA,"JUSTO, JUAN B. AV. & MUÑECAS","JUSTO, JUAN B. AV.",0,MUÑECAS,10018,13141,POINT(101332.571976584 103485.169329383),1,Sunday,0,0,1,2
1129,16,POLICIA FEDERAL 2015,FEBRERO,27,01/02/2015,8:30:00 PM,VEHICULO - MOTO,COLISION,AV. JUAN B JUSTO Y MUÑECAS,"JUSTO, JUAN B. AV. y MUÑECAS",AVENIDA,"JUSTO, JUAN B. AV. & MUÑECAS","JUSTO, JUAN B. AV.",0,MUÑECAS,10018,13141,POINT(101332.571976584 103485.169329383),1,Sunday,0,1,1,2
724,17,POLICIA FEDERAL 2015,FEBRERO,4,01/02/2015,10:30:00 AM,VEHICULO - MOTO,COLISION,AVDA 9 DE JULIO & ADOLFO ALSINA,"9 DE JULIO AV. y ALSINA, ADOLFO",AVENIDA,"9 DE JULIO AV. & ALSINA, ADOLFO",9 DE JULIO AV.,0,"ALSINA, ADOLFO",14029,1046,POINT(107513.27438882 102046.489133227),0,Sunday,0,0,0,3
1353,18,POLICIA FEDERAL 2015,FEBRERO,39,01/02/2015,5:30:00 PM,VEHICULO - MOTO,COLISION,AVDA ALVAREZ THOMAS & MCAL ANTONIO J DE SUCRE,"ALVAREZ THOMAS AV. y SUCRE, ANTONIO JOSE DE, MCAL.",AVENIDA,"ALVAREZ THOMAS AV. & SUCRE, ANTONIO JOSE DE, MCAL.",ALVAREZ THOMAS AV.,0,"SUCRE, ANTONIO JOSE DE, MCAL.",1059,20120,POINT(98781.078125 105856.15625),0,Sunday,0,0,2,2
1283,19,POLICIA FEDERAL 2015,FEBRERO,38,01/02/2015,11:30:00 AM,VEHICULO - PEATON,ATROPELLO,AVDA DIRECTORIO & VARELA,DIRECTORIO AV. y VARELA,AVENIDA,DIRECTORIO AV. & VARELA,DIRECTORIO AV.,0,VARELA,4078,23011,POINT(99985.5859375 99439.859375),0,Sunday,0,0,1,5
1304,20,POLICIA FEDERAL 2015,FEBRERO,50,01/02/2015,10:40:00 AM,VEHICULO - VEHICULO,COLISION,AVDA GAONA Y AVDA DONATO ALVAREZ,"GAONA AV. y ALVAREZ, DONATO, TTE. GRAL.",AVENIDA,"GAONA AV. & ALVAREZ, DONATO, TTE. GRAL.",GAONA AV.,0,"ALVAREZ, DONATO, TTE. GRAL.",7025,1055,POINT(100353.2265625 101706.640625),0,Sunday,0,0,2,2
1420,21,POLICIA FEDERAL 2015,FEBRERO,49,01/02/2015,9:30:00 AM,MOTO - MOTO,COLISION,AVDA GRAL PAZ COLECTORA & AVDA DR RICARDO BALBIN,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",AVENIDA,"PAZ, GRAL. AV. & BALBIN, RICARDO, DR. AV.","PAZ, GRAL. AV.",0,"BALBIN, RICARDO, DR. AV.",17041,4053,POINT(96666.3984375 108707.859375),0,Sunday,0,0,2,6
757,22,POLICIA FEDERAL 2015,FEBRERO,22,01/02/2015,12:10:00 AM,VEHICULO - VEHICULO,COLISION,AVDA ING HUERGO Y MORENO,"HUERGO, ING. AV. y MORENO",AVENIDA,"HUERGO, ING. AV. & MORENO","HUERGO, ING. AV.",0,MORENO,8030,13126,POINT(108808.65625 102022.7890625),1,Sunday,0,0,1,3
758,22,POLICIA FEDERAL 2015,FEBRERO,22,01/02/2015,12:10:00 AM,VEHICULO - VEHICULO,COLISION,AVDA ING HUERGO Y MORENO,"HUERGO, ING. AV. y MORENO",AVENIDA,"HUERGO, ING. AV. & MORENO","HUERGO, ING. AV.",0,MORENO,8030,13126,POINT(108808.65625 102022.7890625),1,Sunday,0,1,2,3
1466,23,POLICIA FEDERAL 2015,FEBRERO,42,01/02/2015,4:45:00 AM,VEHICULO - PEATON,ATROPELLO,AVDA LARRAZABAL & AVDA JUAN B ALBERDI,"LARRAZABAL AV. y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,"LARRAZABAL AV. & ALBERDI, JUAN BAUTISTA AV.",LARRAZABAL AV.,0,"ALBERDI, JUAN BAUTISTA AV.",12064,1033,POINT(96433.515625 97551.8203125),1,Sunday,0,0,2,3
1449,24,POLICIA FEDERAL 2015,FEBRERO,40,01/02/2015,5:15:00 PM,VEHICULO - PEATON,ATROPELLO,AVDA RIVADAVIA & AVDA SEGUROLA,RIVADAVIA AV. y SEGUROLA AV.,AVENIDA,RIVADAVIA AV. & SEGUROLA AV.,RIVADAVIA AV.,0,SEGUROLA AV.,19046,20088,POINT(98250.4609375 99481.5),0,Sunday,0,0,2,2
802,25,POLICIA FEDERAL 2015,FEBRERO,8,01/02/2015,6:30:00 PM,VEHICULO - MOTO,COLISION,AVDA RIVADAVIA Y MAZA,RIVADAVIA AV. y MAZA,AVENIDA,RIVADAVIA AV. & MAZA,RIVADAVIA AV.,0,MAZA,19046,13055,POINT(104215.3515625 102032.2109375),0,Sunday,0,0,1,5
695,26,POLICIA FEDERAL 2015,FEBRERO,2,01/02/2015,4:30:00 PM,VEHICULO - MOTO,COLISION,CHACABUCO & MEXICO,CHACABUCO y MEXICO,CALLE,CHACABUCO & MEXICO,CHACABUCO,0,MEXICO,3214,13076,POINT(108003.234375 101579.546875),0,Sunday,0,0,2,3
696,26,POLICIA FEDERAL 2015,FEBRERO,2,01/02/2015,4:30:00 PM,VEHICULO - MOTO,COLISION,CHACABUCO & MEXICO,CHACABUCO y MEXICO,CALLE,CHACABUCO & MEXICO,CHACABUCO,0,MEXICO,3214,13076,POINT(108003.234375 101579.546875),0,Sunday,0,1,1,999
1055,27,POLICIA FEDERAL 2015,FEBRERO,31,01/02/2015,3:00:00 AM,VEHICULO - MOTO,COLISION,HONDURAS Y HUMBOLDT,HONDURAS y HUMBOLDT,CALLE,HONDURAS & HUMBOLDT,HONDURAS,0,HUMBOLDT,8020,8036,POINT(102560.6796875 104924.8359375),1,Sunday,0,0,2,6
1154,27,POLICIA FEDERAL 2015,FEBRERO,31,01/02/2015,3:00:00 AM,VEHICULO - MOTO,COLISION,HONDURAS Y HUMBOLDT,HONDURAS y HUMBOLDT,CALLE,HONDURAS & HUMBOLDT,HONDURAS,0,HUMBOLDT,8020,8036,POINT(102560.6796875 104924.8359375),1,Sunday,0,1,2,6
1210,28,POLICIA FEDERAL 2015,FEBRERO,10,01/02/2015,7:20:00 AM,VEHICULO - BICICLETA,COLISION,MEXICO Y YAPEYU,MEXICO y YAPEYU,CALLE,MEXICO & YAPEYU,MEXICO,0,YAPEYU,13076,26001,POINT(103832.3828125 101012.59375),0,Sunday,0,0,0,3
697,29,POLICIA FEDERAL 2015,FEBRERO,2,01/02/2015,8:40:00 PM,VEHICULO - MOTO,COLISION,MORENO & BOLIVAR,MORENO y BOLIVAR,CALLE,MORENO & BOLIVAR,MORENO,0,BOLIVAR,13126,2092,POINT(108247.2734375 101979.890625),1,Sunday,0,0,1,3
1223,30,POLICIA FEDERAL 2015,FEBRERO,11,01/02/2015,7:30:00 PM,VEHICULO - BICICLETA,COLISION,OTAMENDI & DR JUAN F ARANGUREN,"OTAMENDI y ARANGUREN, JUAN F., DR.",CALLE,"OTAMENDI & ARANGUREN, JUAN F., DR.",OTAMENDI,0,"ARANGUREN, JUAN F., DR.",16040,1094,POINT(102710.34375 102044.125),0,Sunday,0,0,0,3
1256,31,POLICIA FEDERAL 2015,FEBRERO,13,01/02/2015,4:25:00 PM,VEHICULO - MOTO,COLISION,SAN MARTIN Y ESPINOSA ,SAN MARTIN AV. y ESPINOSA,AVENIDA,SAN MARTIN AV. & ESPINOSA,SAN MARTIN AV.,0,ESPINOSA,20045,5079,POINT(100617.890625 102693.8671875),0,Sunday,0,0,2,3
2311,32,POLICIA FEDERAL 2015,MARZO,49,01/03/2015,10:50:00 PM,VEHICULO - MOTO,COLISION,3169 PACHECO,PACHECO 3169,CALLE,3169 PACHECO,PACHECO,3169,0,17001,0,POINT(97624.1162122 106933.08136),1,Sunday,0,0,2,2
1683,33,POLICIA FEDERAL 2015,MARZO,9,01/03/2015,9:40:00 PM,MOTO - PEATON,ATROPELLO,3234 AVDA CORRIENTES,CORRIENTES AV. 3234,AVENIDA,3234 CORRIENTES AV.,CORRIENTES AV.,3234,0,3174,0,POINT(104807.141631 102788.288373),1,Sunday,0,0,0,5
2310,34,POLICIA FEDERAL 2015,MARZO,49,01/03/2015,2:00:00 PM,VEHICULO - VEHICULO,COLISION,3600 AVDA GRAL PAZ COLECTORA,"PAZ, GRAL. AV. 3600",AVENIDA,"3600 PAZ, GRAL. AV.","PAZ, GRAL. AV.",3600,0,17041,0,POINT(96572.582905 108568.034377),0,Sunday,0,0,1,4
2224,35,POLICIA FEDERAL 2015,MARZO,41,01/03/2015,6:20:00 PM,VEHICULO - BICICLETA,COLISION,4100 AVDA SAN MARTIN,SAN MARTIN AV. 4100,AVENIDA,4100 SAN MARTIN AV.,SAN MARTIN AV.,4100,0,20045,0,POINT(98499.8038704 103314.509234),0,Sunday,0,0,2,2
2006,36,POLICIA FEDERAL 2015,MARZO,33,01/03/2015,10:00:00 PM,SIN DATOS,SIN DATOS,ARCOS & JOSE HERNANDEZ,"ARCOS y HERNANDEZ, JOSE",CALLE,"ARCOS & HERNANDEZ, JOSE",ARCOS,0,"HERNANDEZ, JOSE",1102,8011,POINT(101164.5625 107225.5234375),1,Sunday,0,0,999,2
1619,37,POLICIA FEDERAL 2015,MARZO,5,01/03/2015,11:25:00 PM,VEHICULO - MOTO,COLISION,AV CORRIENTES 1865,CORRIENTES AV. 1865,AVENIDA,1865 CORRIENTES AV.,CORRIENTES AV.,1865,0,3174,0,POINT(106423.188533 102758.748156),1,Sunday,0,0,2,3
2113,38,POLICIA FEDERAL 2015,MARZO,34,01/03/2015,12:20:00 AM,SIN DATOS,SIN DATOS,AV DEL BARCO CENTENERA 3233,BARCO CENTENERA DEL 3233,CALLE,3233 BARCO CENTENERA DEL,BARCO CENTENERA DEL,3233,0,3112,0,POINT(103864.990702 97342.0288668),1,Sunday,0,0,1,3
1872,39,POLICIA FEDERAL 2015,MARZO,28,01/03/2015,7:35:00 AM,VEHICULO - VEHICULO,COLISION,AV. AMANCIO ALCORTA Y COLONIA,"ALCORTA, AMANCIO AV. y COLONIA AV.",AVENIDA,"ALCORTA, AMANCIO AV. & COLONIA AV.","ALCORTA, AMANCIO AV.",0,COLONIA AV.,1036,3146,POINT(106146.8046875 98525.6328125),0,Sunday,0,0,0,2
2485,40,POLICIA FEDERAL 2015,MARZO,52,01/03/2015,6:45:00 AM,MOTO - MOTO,COLISION,AV. COLECTORA GRAL. PAZ Y AV. 27 DE FEBRERO,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",AVENIDA,"PAZ, GRAL. AV. & 27 DE FEBRERO AV.","PAZ, GRAL. AV.",0,27 DE FEBRERO AV.,17041,23026,POINT(100190.327373309 91738.0833595565),0,Sunday,0,0,2,3
1745,41,POLICIA FEDERAL 2015,MARZO,15,01/03/2015,1:00:00 AM,VEHICULO - BICICLETA,COLISION,AV. LIBERTADOR 405,DEL LIBERTADOR AV. 405,AVENIDA,405 DEL LIBERTADOR AV.,DEL LIBERTADOR AV.,405,0,12107,0,POINT(107701.348649 104355.085437),1,Sunday,0,0,1,4
1722,42,POLICIA FEDERAL 2015,MARZO,20,01/03/2015,2:40:00 AM,VEHICULO - VEHICULO,COLISION,AV.SAN JUAN Y ALBERTI,SAN JUAN AV. y ALBERTI,AVENIDA,SAN JUAN AV. & ALBERTI,SAN JUAN AV.,0,ALBERTI,20040,1034,POINT(105766.234375 100631.34375),1,Sunday,0,0,1,7
1723,42,POLICIA FEDERAL 2015,MARZO,20,01/03/2015,2:40:00 AM,VEHICULO - VEHICULO,COLISION,AV.SAN JUAN Y ALBERTI,SAN JUAN AV. y ALBERTI,AVENIDA,SAN JUAN AV. & ALBERTI,SAN JUAN AV.,0,ALBERTI,20040,1034,POINT(105766.234375 100631.34375),1,Sunday,0,1,0,7
2329,43,POLICIA FEDERAL 2015,MARZO,36,01/03/2015,9:30:00 AM,VEHICULO - VEHICULO,COLISION,AVDA GRAL FRANCISCO FERNANDEZ DE LA CRUZ & RIVERA INDARTE,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. & RIVERA INDARTE AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,RIVERA INDARTE AV.,3195,19054,POINT(102500.65625 97215.1484375),0,Sunday,0,0,0,2
2349,44,POLICIA FEDERAL 2015,MARZO,40,01/03/2015,7:24:00 PM,VEHICULO - VEHICULO,COLISION,AVDA JUAN B ALBERDI & MORETO,"ALBERDI, JUAN BAUTISTA AV. y MORETO",AVENIDA,"ALBERDI, JUAN BAUTISTA AV. & MORETO","ALBERDI, JUAN BAUTISTA AV.",0,MORETO,1033,13130,POINT(97586.5546875 98569.703125),0,Sunday,0,0,2,7
2223,45,POLICIA FEDERAL 2015,MARZO,41,01/03/2015,4:05:00 AM,VEHICULO - PEATON,ATROPELLO,AVDA NAZCA & LASCANO,NAZCA AV. y LASCANO,AVENIDA,NAZCA AV. & LASCANO,NAZCA AV.,0,LASCANO,14012,12071,POINT(97995.0390625 102479.734375),1,Sunday,0,0,0,3
1964,46,POLICIA FEDERAL 2015,MARZO,29,01/03/2015,3:40:00 PM,VEHICULO - VEHICULO,COLISION,AVDA TTEG DONATO ALVAREZ & ALEJANDRO MAGARINOS CERVANTES,"ALVAREZ, DONATO, TTE. GRAL. AV. y MAGARIÑOS CERVANTES, A.",AVENIDA,"ALVAREZ, DONATO, TTE. GRAL. AV. & MAGARIÑOS CERVANTES, A.","ALVAREZ, DONATO, TTE. GRAL. AV.",0,"MAGARIÑOS CERVANTES, A.",1055,13011,POINT(99972.4140625 102631.3359375),0,Sunday,0,0,1,4
1650,47,POLICIA FEDERAL 2015,MARZO,7,01/03/2015,4:00:00 PM,VEHICULO - MOTO,COLISION,BARTOLOME MITRE & AZCUENAGA,"MITRE, BARTOLOME y AZCUENAGA",CALLE,"MITRE, BARTOLOME & AZCUENAGA","MITRE, BARTOLOME",0,AZCUENAGA,13094,1147,POINT(105755.234375 102296.0078125),0,Sunday,0,0,0,3
2128,48,POLICIA FEDERAL 2015,MARZO,38,01/03/2015,2:45:00 AM,VEHICULO - VEHICULO,COLISION,BONIFACIO Y SAN PEDRITO,"BONIFACIO, JOSE y SAN PEDRITO AV.",AVENIDA,"BONIFACIO, JOSE & SAN PEDRITO AV.","BONIFACIO, JOSE",0,SAN PEDRITO AV.,2098,20050,POINT(99572.40625 99424.4140625),1,Sunday,0,0,0,4
2129,48,POLICIA FEDERAL 2015,MARZO,38,01/03/2015,2:45:00 AM,VEHICULO - VEHICULO,COLISION,BONIFACIO Y SAN PEDRITO,"BONIFACIO, JOSE y SAN PEDRITO AV.",AVENIDA,"BONIFACIO, JOSE & SAN PEDRITO AV.","BONIFACIO, JOSE",0,SAN PEDRITO AV.,2098,20050,POINT(99572.40625 99424.4140625),1,Sunday,0,1,1,4
2130,49,POLICIA FEDERAL 2015,MARZO,38,01/03/2015,8:15:00 AM,VEHICULO - VEHICULO,COLISION,BOYACA Y RIVADAVIA,BOYACA AV. y RIVADAVIA AV.,AVENIDA,BOYACA AV. & RIVADAVIA AV.,BOYACA AV.,0,RIVADAVIA AV.,2107,19046,POINT(100604.3125 100288.7421875),0,Sunday,0,0,2,3
2131,49,POLICIA FEDERAL 2015,MARZO,38,01/03/2015,8:15:00 AM,VEHICULO - VEHICULO,COLISION,BOYACA Y RIVADAVIA,BOYACA AV. y RIVADAVIA AV.,AVENIDA,BOYACA AV. & RIVADAVIA AV.,BOYACA AV.,0,RIVADAVIA AV.,2107,19046,POINT(100604.3125 100288.7421875),0,Sunday,0,1,0,3
2132,49,POLICIA FEDERAL 2015,MARZO,38,01/03/2015,8:15:00 AM,VEHICULO - VEHICULO,COLISION,BOYACA Y RIVADAVIA,BOYACA AV. y RIVADAVIA AV.,AVENIDA,BOYACA AV. & RIVADAVIA AV.,BOYACA AV.,0,RIVADAVIA AV.,2107,19046,POINT(100604.3125 100288.7421875),0,Sunday,0,1,1,3
2026,50,POLICIA FEDERAL 2015,MARZO,51,01/03/2015,7:45:00 PM,VEHICULO - MOTO,COLISION,DEL LIBERTADOR 6500,DEL LIBERTADOR AV. 6500,AVENIDA,6500 DEL LIBERTADOR AV.,DEL LIBERTADOR AV.,6500,0,12107,0,POINT(101071.883395 108537.078664),0,Sunday,0,0,1,4
2265,51,POLICIA FEDERAL 2015,MARZO,45,01/03/2015,2:05:00 PM,VEHICULO - MOTO,COLISION,JOSE P VARELA Y AV CHIVILCOY,"VARELA, JOSE PEDRO y CHIVILCOY AV.",AVENIDA,"VARELA, JOSE PEDRO & CHIVILCOY AV.","VARELA, JOSE PEDRO",0,CHIVILCOY AV.,23013,3258,POINT(95938.1207056371 102733.056580721),0,Sunday,0,0,1,3
2371,52,POLICIA FEDERAL 2015,MARZO,42,01/03/2015,9:00:00 AM,VEHICULO - VEHICULO,COLISION,PILAR & AVDA JUAN B ALBERDI,"PILAR y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,"PILAR & ALBERDI, JUAN BAUTISTA AV.",PILAR,0,"ALBERDI, JUAN BAUTISTA AV.",17081,1033,POINT(95975.59375 97082.2421875),0,Sunday,0,0,2,3
2065,53,POLICIA FEDERAL 2015,MARZO,11,01/03/2015,4:00:00 AM,VEHICULO - MOTO,COLISION,YATAY & BARTOLOME MITRE,"YATAY y MITRE, BARTOLOME",CALLE,"YATAY & MITRE, BARTOLOME",YATAY,0,"MITRE, BARTOLOME",26002,13094,POINT(103153.7734375 102057.59375),1,Sunday,0,0,0,2
2918,54,POLICIA FEDERAL 2015,ABRIL,33,01/04/2015,9:55:00 AM,VEHICULO - BICICLETA,COLISION,11 DE SETIEMBRE & MANUEL UGARTE,"11 DE SEPTIEMBRE DE 1888 y UGARTE, MANUEL",CALLE,"11 DE SEPTIEMBRE DE 1888 & UGARTE, MANUEL",11 DE SEPTIEMBRE DE 1888,0,"UGARTE, MANUEL",16025,22020,POINT(100690.25 108435.7890625),0,Wednesday,0,0,2,2
3290,55,POLICIA FEDERAL 2015,ABRIL,42,01/04/2015,1:30:00 PM,VEHICULO - VEHICULO,COLISION,12500 AVDA GRAL PAZ COLECTORA,"PAZ, GRAL. AV. 12500",AVENIDA,"12500 PAZ, GRAL. AV.","PAZ, GRAL. AV.",12500,0,17041,0,POINT(94819.3870324 96569.952826),0,Wednesday,0,0,2,3
3291,55,POLICIA FEDERAL 2015,ABRIL,42,01/04/2015,1:30:00 PM,VEHICULO - VEHICULO,COLISION,12500 AVDA GRAL PAZ COLECTORA,"PAZ, GRAL. AV. 12500",AVENIDA,"12500 PAZ, GRAL. AV.","PAZ, GRAL. AV.",12500,0,17041,0,POINT(94819.3870324 96569.952826),0,Wednesday,0,1,2,3
3050,56,POLICIA FEDERAL 2015,ABRIL,34,01/04/2015,9:00:00 AM,MOTO - PEATON,ATROPELLO,AGUSTIN DE VEDIA Y RIVERA,"VEDIA, AGUSTIN DE y RIVERA, FRUCTUOSO, GENERAL",CALLE,"VEDIA, AGUSTIN DE & RIVERA, FRUCTUOSO, GENERAL","VEDIA, AGUSTIN DE",0,"RIVERA, FRUCTUOSO, GENERAL",23017,19052,POINT(103229.6328125 97525.8984375),0,Wednesday,0,0,0,3
3128,57,POLICIA FEDERAL 2015,ABRIL,35,01/04/2015,4:32:00 PM,VEHICULO - MOTO,COLISION,AMENABAR Y BESARES,AMENABAR y BESARES,CALLE,AMENABAR & BESARES,AMENABAR,0,BESARES,1072,2073,POINT(99155.7890625 109259.2890625),0,Wednesday,0,0,1,2
2566,58,POLICIA FEDERAL 2015,ABRIL,14,01/04/2015,10:00:00 AM,VEHICULO - MOTO,COLISION,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO,0,0,99657,0,0,0,Wednesday,0,0,0,2
2668,59,POLICIA FEDERAL 2015,ABRIL,20,01/04/2015,1:00:00 AM,VEHICULO - BICICLETA,COLISION,AV SAN JUAN Y SANCHEZ DE LORIA ,SAN JUAN AV. y SANCHEZ DE LORIA,AVENIDA,SAN JUAN AV. & SANCHEZ DE LORIA,SAN JUAN AV.,0,SANCHEZ DE LORIA,20040,12137,POINT(104695.703125 100475.9375),1,Wednesday,0,0,1,2
