ID,POINT_X,POINT_Y
395,-58.52353744,-34.64072375
396,-58.44992048,-34.60940352
397,-58.44962397,-34.56213621
398,-58.4785951,-34.60357765
399,-58.42153783,-34.6085713
400,,
401,-58.51500717,-34.61629843
402,-58.38296112,-34.62224387
403,-58.39449666,-34.61952957
404,-58.41563909,-34.58502301
405,-58.40835298,-34.65054351
406,-58.46593674,-34.646949
407,-58.39859412,-34.62840597
408,-58.45367508,-34.64412841
409,-58.44070333,-34.58712777
410,-58.47913566,-34.66140168
411,-58.39859412,-34.62840597
412,-58.39859412,-34.62840597
413,-58.41177934,-34.63035584
414,-58.41182574,-34.63961842
415,-58.48632916,-34.59013531
416,-58.40742512,-34.63752132
417,-58.37758144,-34.6128511
418,-58.43531082,-34.59082188
419,-58.4730553,-34.68550938
420,-58.46662926,-34.65178878
421,-58.5083128,-34.62683085
422,-58.37829854,-34.62767774
423,-58.52500652,-34.64012151
424,-58.50673453,-34.60542563
425,-58.52997253,-34.62440575
426,-58.3682064,-34.58764756
427,-58.52176261,-34.61776625
428,-58.41469071,-34.62526763
429,-58.3824318,-34.60032477
430,-58.51525417,-34.62312026
431,-58.45650415,-34.56244234
432,-58.45988795,-34.61414674
433,-58.41070053,-34.60920891
434,-58.47073444,-34.62800656
435,-58.4710186,-34.61310128
436,-58.50201459,-34.57867594
437,-58.40367021,-34.58129269
438,-58.44708853,-34.64369203
439,-58.43344558,-34.5920584
440,-58.41674655,-34.60359835
441,-58.38507993,-34.61773427
442,-58.40455418,-34.61582542
443,-58.48618802,-34.60574637
444,-58.4021704,-34.62378046
445,-58.46210854,-34.60356256
446,,
447,-58.4712381,-34.69573286
448,-58.3564016,-34.63122476
449,-58.37189073,-34.64639001
450,-58.44122907,-34.58832036
451,-58.52994493,-34.64056014
452,-58.36719476,-34.64274215
453,-58.41259161,-34.60160185
454,-58.48898372,-34.60124274
455,,
456,-58.44812207,-34.62332283
457,-58.40455418,-34.61582542
458,,
459,-58.47114663,-34.68399562
460,-58.43593047,-34.5991958
461,-58.50959583,-34.60226252
462,-58.40600624,-34.60929946
463,-58.37785538,-34.59107899
464,-58.39169701,-34.61815919
465,-58.46690956,-34.63000963
466,-58.39323219,-34.6139312
467,-58.4154325,-34.57926089
468,-58.38975553,-34.62398198
469,-58.3764833,-34.58240602
470,-58.45821978,-34.59830002
471,-58.42618012,-34.60727878
472,-58.46231015,-34.56198156
473,-58.48240562,-34.58746941
474,-58.39625611,-34.64254243
475,-58.44269028,-34.60355275
476,-58.41556054,-34.64752388
477,-58.39116982,-34.627253
478,-58.47800628,-34.62248778
479,-58.51232451,-34.65903677
480,-58.44873926,-34.55165444
481,-58.39801868,-34.58789953
482,-58.4059659,-34.61012074
483,-58.40858187,-34.6103113
484,-58.41582331,-34.61083474
485,-58.37981856,-34.62721457
486,-58.49116587,-34.63250146
487,-58.46745698,-34.62873801
488,-58.4133479,-34.62768872
489,-58.43885885,-34.60879852
490,-58.43533593,-34.60149653
491,-58.38584055,-34.6211561
492,-58.44000237,-34.60589323
493,-58.39195991,-34.61054181
494,-58.45718537,-34.62151124
495,-58.46809887,-34.6008672
496,-58.48453833,-34.64105781
497,,
498,-58.40545401,-34.62918455
499,-58.37543989,-34.59265622
500,-58.40354291,-34.62896891
501,-58.3750017,-34.60720308
502,-58.40902871,-34.58755929
503,-58.38095594,-34.60403654
504,-58.38895075,-34.61363832
505,-58.44523454,-34.55953808
506,-58.52388244,-34.65589453
507,-58.4296466,-34.59932067
508,-58.45900363,-34.67375588
509,-58.52991642,-34.62571575
510,-58.42661508,-34.62190373
511,-58.45620675,-34.5560814
512,-58.40341063,-34.5975387
513,-58.39196062,-34.60916931
514,-58.46120697,-34.62841569
515,-58.38717172,-34.58621841
516,-58.40407051,-34.61459705
517,-58.41641804,-34.59408588
518,-58.46452266,-34.56102241
519,-58.43042991,-34.6498743
520,-58.43728822,-34.60140983
521,-58.44262354,-34.59205483
522,-58.52853497,-34.62223406
523,-58.46794539,-34.64722972
524,-58.37557968,-34.60690053
525,-58.48986994,-34.66615439
526,-58.51295977,-34.64585534
527,-58.43573314,-34.56265444
528,-58.47241696,-34.6369875
529,-58.37715503,-34.62265517
530,-58.41626726,-34.65566434
531,-58.38588829,-34.61668548
532,-58.37932002,-34.60600945
533,-58.51465806,-34.64153196
534,-58.41023389,-34.61156862
535,-58.4864737,-34.54449087
536,-58.37639397,-34.65075154
537,-58.46090677,-34.6465674
538,-58.45544804,-34.59793502
539,-58.47739371,-34.65372396
540,-58.39071949,-34.62277259
541,-58.40163964,-34.59455589
542,-58.40201188,-34.59461902
543,-58.40809978,-34.60413288
544,-58.47392262,-34.62933116
545,-58.47890686,-34.62286214
546,-58.40084659,-34.59843615
547,-58.44364218,-34.60420525
548,-58.37785538,-34.59107899
549,-58.37735798,-34.6174523
550,-58.43010541,-34.57703314
551,-58.40518415,-34.58156152
552,-58.4021704,-34.62378046
553,-58.40280196,-34.62113385
554,-58.3726695,-34.62432403
555,-58.47834771,-34.59834248
556,-58.44350909,-34.66912885
557,,
558,-58.48962352,-34.64216029
559,-58.37010592,-34.63455794
560,-58.41733987,-34.61094243
561,-58.45306923,-34.60589431
562,-58.38283645,-34.59283397
563,-58.40623361,-34.58118185
564,-58.50164221,-34.67398352
565,-58.37884833,-34.63014758
566,-58.42060971,-34.60069893
567,-58.45306923,-34.60589431
568,-58.37384854,-34.59358422
569,-58.46164061,-34.60952292
570,-58.46067333,-34.63757599
571,-58.45698108,-34.56151122
572,-58.43577588,-34.59062139
573,-58.48242204,-34.68618332
574,-58.39862469,-34.62017612
575,-58.38114574,-34.60904
576,-58.36818725,-34.62281094
577,-58.48783643,-34.67787577
578,-58.37035212,-34.60063568
579,-58.4482254,-34.63986677
580,-58.52492247,-34.65637803
581,-58.51977255,-34.66027305
582,-58.3916687,-34.58368174
583,-58.41971781,-34.61112323
584,-58.4451017,-34.63202624
585,-58.37900909,-34.62608459
586,-58.38146741,-34.61853564
587,-58.4451713,-34.61957246
588,-58.41942579,-34.62119348
589,-58.39891402,-34.6259726
590,-58.44756009,-34.57241375
591,-58.47760958,-34.62551237
592,-58.48595955,-34.62761578
593,-58.3959028,-34.6319418
594,-58.40325618,-34.63141723
595,-58.52271233,-34.64458963
596,-58.4338183,-34.62802009
597,-58.4700154,-34.69785827
598,-58.381092,-34.61853363
599,-58.43386574,-34.60293582
600,-58.44708853,-34.64369203
601,-58.50904083,-34.56999744
602,-58.47784442,-34.63284604
603,-58.39810932,-34.5807021
604,-58.43716948,-34.58642056
605,-58.3989421,-34.65102526
606,-58.50262118,-34.58386237
607,-58.39214997,-34.6077348
608,-58.38730586,-34.60405559
609,-58.47322819,-34.56008426
610,-58.3796189,-34.60152345
611,-58.37010388,-34.60669448
612,-58.37035212,-34.60063568
613,-58.43593047,-34.5991958
614,-58.40012595,-34.61435726
615,-58.39721926,-34.58309553
616,-58.49290886,-34.59706745
617,-58.51140499,-34.65846565
618,-58.46590724,-34.69092498
619,-58.38146561,-34.64885253
620,-58.41959184,-34.62000533
621,-58.48077846,-34.62214136
622,-58.38437944,-34.62471121
623,-58.38150033,-34.62334716
624,-58.47368873,-34.67692334
625,-58.38349762,-34.62597799
626,-58.4627119,-34.62884973
627,-58.38268701,-34.64643209
628,-58.4607158,-34.64292334
629,-58.42587428,-34.60431062
630,-58.37884328,-34.61635914
631,-58.43960685,-34.65470977
632,-58.4095215,-34.60786271
633,-58.37034909,-34.5999582
634,-58.39078303,-34.63051837
635,-58.37100744,-34.58921758
636,-58.48275988,-34.58987075
637,-58.38113298,-34.6176544
638,-58.3989629,-34.61853892
639,-58.39598974,-34.61838176
640,-58.50153765,-34.63183449
641,-58.36946778,-34.61477167
642,-58.46551185,-34.59633866
643,-58.40068753,-34.59800962
644,-58.44422706,-34.64586127
645,-58.50024822,-34.65130579
646,-58.48062204,-34.61241713
647,-58.44053315,-34.57909986
648,-58.44667546,-34.60272739
649,-58.37060534,-34.63266163
650,-58.41081183,-34.62033622
651,-58.38644774,-34.62700748
652,-58.39891402,-34.6259726
653,-58.38494897,-34.58879201
654,-58.47314591,-34.54413499
655,-58.39042315,-34.61455422
656,-58.41166222,-34.63951348
657,-58.45805153,-34.55019227
658,-58.40476016,-34.59726774
659,-58.44109853,-34.60601211
660,-58.42674698,-34.63144023
661,-58.39331196,-34.59586303
662,-58.46320788,-34.69194772
663,-58.42653122,-34.57816795
664,-58.42805601,-34.59297139
665,-58.36803973,-34.63718362
666,-58.38213361,-34.60501433
667,-58.52377721,-34.62129221
668,-58.45955512,-34.57357206
669,-58.42525245,-34.5786635
670,-58.48577557,-34.63394807
671,-58.49444242,-34.67927332
672,-58.52169629,-34.59471635
673,,
674,-58.40351287,-34.61884024
675,-58.4523086,-34.55131767
676,-58.43195689,-34.57864932
677,-58.45001109,-34.61623251
678,-58.41134629,-34.60653292
679,-58.40873839,-34.60668173
680,-58.38436276,-34.62605322
681,-58.3950696,-34.64193619
682,-58.37383805,-34.59356841
683,-58.50334116,-34.58707692
684,-58.42232377,-34.5803586
685,-58.46066742,-34.61434801
686,-58.44551324,-34.59559851
687,-58.44335862,-34.65068344
688,-58.38578228,-34.62476274
689,-58.47125886,-34.55337523
690,-58.50149756,-34.59384419
691,-58.41624845,-34.62248027
692,-58.49193014,-34.56130161
693,-58.49485361,-34.62953533
694,-58.48276524,-34.56586085
695,-58.49695137,-34.62789066
696,-58.51911969,-34.58928203
697,-58.51132727,-34.65046685
698,-58.46345709,-34.63431935
699,-58.39260754,-34.62403295
700,-58.41294559,-34.60420798
701,-58.38000467,-34.62213739
702,,
703,-58.40378088,-34.63679442
704,,
705,-58.48053354,-34.65897972
706,-58.38506814,-34.61328151
707,-58.47976885,-34.69153434
708,-58.53028582,-34.61919638
709,-58.37735798,-34.6174523
710,-58.52068766,-34.64349903
711,-58.47220948,-34.60111407
712,-58.39536467,-34.62297468
713,-58.44488569,-34.56995208
714,-58.41199033,-34.62650453
715,-58.39690013,-34.64093526
716,-58.39449666,-34.61952957
717,-58.43526832,-34.58642022
718,-58.4310409,-34.58108186
719,-58.44488569,-34.56995208
720,,
721,-58.36136897,-34.63428458
722,-58.50309533,-34.56842699
723,-58.374254,-34.59742527
724,-58.39158194,-34.62296576
725,-58.44803201,-34.59747667
726,-58.46586626,-34.67888666
727,-58.3729769,-34.58427042
728,-58.46495345,-34.55322332
729,-58.37337063,-34.59847644
730,-58.41650969,-34.6209772
731,-58.45400183,-34.60565177
732,-58.42525245,-34.5786635
733,-58.51094992,-34.60075883
734,-58.4754877,-34.539369
735,-58.48745906,-34.65103574
736,-58.43851397,-34.60523349
737,-58.41726294,-34.59782564
738,-58.44600687,-34.58868408
739,-58.46452266,-34.56102241
740,-58.52121711,-34.63893236
741,-58.39196062,-34.60916931
742,-58.47208088,-34.58224953
743,-58.45628197,-34.55755633
744,-58.48107382,-34.69059611
745,-58.47983752,-34.56757989
746,-58.46397205,-34.63987255
747,-58.4521029,-34.62951958
748,-58.44523454,-34.55953808
749,-58.50031887,-34.61810025
750,-58.47297555,-34.66245259
751,,
752,-58.52398533,-34.61329823
753,,
754,-58.40153148,-34.58204561
755,,
756,-58.47945174,-34.62068319
757,-58.47418969,-34.62049749
758,-58.44226163,-34.60205424
759,-58.52771354,-34.63925345
760,-58.48238032,-34.6339424
761,-58.46945314,-34.59485
762,-58.40580107,-34.57579382
763,-58.44053315,-34.57909986
764,-58.45315441,-34.56563479
765,-58.40736011,-34.62205026
766,,
767,-58.40160659,-34.59634136
768,-58.41934294,-34.59277261
769,-58.47842388,-34.55618377
770,-58.50124554,-34.59577858
771,-58.37371149,-34.59062149
772,-58.38594359,-34.61595216
773,-58.5176137,-34.61234384
774,-58.50561732,-34.63944328
775,-58.46806453,-34.53609889
776,-58.46252243,-34.55976533
777,-58.44556231,-34.65862773
778,-58.42865091,-34.58844995
779,-58.38321625,-34.61323386
780,-58.40132871,-34.62745558
781,-58.37932249,-34.62220355
782,-58.4021704,-34.62378046
783,-58.41624421,-34.65707074
784,-58.4129831,-34.65479851
785,-58.45397506,-34.62046561
786,-58.46053064,-34.58077213
787,-58.37301546,-34.63179365
788,-58.36924569,-34.64011584
789,-58.45090972,-34.60636491
790,-58.38241129,-34.59544056
791,-58.43485108,-34.60118457
792,-58.50097745,-34.66315445
793,-58.51264044,-34.66568429
794,-58.46310493,-34.63167461
795,-58.47609636,-34.61810257
796,-58.40600624,-34.60929946
797,-58.38502503,-34.5870353
798,-58.46650451,-34.55867254
799,-58.50025362,-34.59521787
800,-58.37109348,-34.62536965
801,-58.4413637,-34.55434406
802,-58.47263126,-34.64351811
803,-58.49004329,-34.56401048
804,,
805,-58.40037461,-34.61050573
806,-58.38966415,-34.59944083
807,-58.48171426,-34.6088193
808,-58.37547478,-34.65326276
809,-58.4134383,-34.62666605
810,-58.3919131,-34.61118273
811,-58.39157136,-34.60563708
812,-58.45320544,-34.55894267
813,-58.44716682,-34.60540411
814,,
815,-58.39171024,-34.61382503
816,-58.4201627,-34.59776316
817,-58.39167677,-34.61491702
818,-58.51140499,-34.65846565
819,-58.52099738,-34.64138712
820,-58.49992252,-34.63514313
821,-58.36955764,-34.61232985
822,-58.37453338,-34.61608828
823,-58.43599708,-34.65608731
824,-58.38379793,-34.60263011
825,-58.36794516,-34.62714238
826,-58.44018437,-34.64478711
827,-58.37130073,-34.58939803
828,-58.49184463,-34.62483999
829,-58.43119095,-34.57684036
830,-58.39032591,-34.61808064
831,-58.41473332,-34.60497255
832,-58.43850312,-34.6555493
833,-58.40087562,-34.60989286
834,-58.42212186,-34.5882104
835,-58.38146058,-34.60965499
836,-58.40651328,-34.62930406
837,-58.37279779,-34.6218901
838,-58.51911969,-34.58928203
839,-58.39331196,-34.59586303
840,-58.44353815,-34.59547166
841,-58.44430018,-34.594764
842,-58.3726695,-34.62432403
843,-58.40135321,-34.61443162
844,-58.38547171,-34.59922768
845,-58.49568018,-34.55529979
846,-58.51541629,-34.65194231
847,-58.3686822,-34.61700636
848,-58.50830846,-34.6139197
849,,
850,-58.41794333,-34.62259236
851,-58.4505939,-34.60523505
852,-58.41343536,-34.61261443
853,-58.47263126,-34.64351811
854,-58.4323661,-34.61428158
855,-58.40324035,-34.61228501
856,-58.48380346,-34.60441179
857,-58.47705963,-34.62659563
858,-58.49642477,-34.63711835
859,-58.37065306,-34.61005991
860,-58.41962885,-34.61877241
861,-58.38183189,-34.59159291
862,-58.4097252,-34.62469569
863,-58.49823638,-34.67203888
864,-58.51634495,-34.58547908
865,-58.44551324,-34.59559851
866,-58.44768988,-34.59709161
867,-58.51537268,-34.59035913
868,-58.37008889,-34.60299787
869,-58.437975,-34.60495969
870,-58.44805439,-34.64293487
871,-58.41894082,-34.59778928
872,-58.46621831,-34.63514123
873,-58.3690724,-34.59935409
874,-58.39169701,-34.61815919
875,-58.50236941,-34.6104194
876,-58.37667002,-34.5918546
877,-58.35923002,-34.6112039
878,-58.49315246,-34.64540294
879,-58.47530838,-34.54485004
880,,
881,-58.46896188,-34.64303461
882,-58.41221975,-34.62399257
883,-58.36806604,-34.63179656
884,-58.49367145,-34.62875777
885,-58.42286395,-34.63210995
886,-58.42437836,-34.57929173
887,-58.48419188,-34.67809457
888,-58.4727327,-34.65881793
889,-58.42619645,-34.61239565
890,-58.49961926,-34.55076793
891,-58.45397506,-34.62046561
892,-58.44430018,-34.594764
