ID,ACUSADO,TIPO_VEHICULO_ACUSADO,MARCA_VEHICULO_ACUSADO,MODELO_VEHICULO_ACUSADO,COLECTIVO_ACUSADO,INTERNO_ACUSADO,SEXO_ACUSADO,EDAD_ACUSADO,repetido
57,CONDUCTOR,AUTO PARTICULAR,HYUNDAI,I10,,,Femenino,38,
58,CONDUCTOR,AUTO PARTICULAR,FIAT,UNO,,,Masculino,26,
59,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,GOLF,,,Masculino,37,
60,CONDUCTOR,AUTO PARTICULAR,TOYOTA,COROLLA,,,Masculino,62,
61,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,FOX,,,Masculino,51,
62,CONDUCTOR,MOTO,HONDA,CG TITAN,,,Masculino,22,
62,CONDUCTOR,MOTO,YAMAHA,FZ,,,Masculino,21,
63,CONDUCTOR,CAMIONETA,FORD,RANGER,,,Masculino,52,
64,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),CITROEN,XSARA,,,Masculino,50,
65,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),RENAULT,KANGOO,,,Masculino,57,
66,CONDUCTOR,SIN DATOS,,,,,Masculino,999,
67,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,PARTNER,,,Masculino,39,
68,CONDUCTOR,AUTO PARTICULAR,FIAT,UNO,,,Femenino,47,
69,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,FOX,,,Masculino,30,
70,CONDUCTOR,AUTO PARTICULAR,CITROEN,XSARA,,,Masculino,44,
71,CONDUCTOR,AUTO PARTICULAR,AUDI,Q5,,,Masculino,55,
72,CONDUCTOR,TAXI/REMIS,CHEVROLET,AVEO,,,Masculino,44,
73,CONDUCTOR,MOTO,HONDA,XR 250,,,Masculino,29,
74,CONDUCTOR,AUTO PARTICULAR,RENAULT,MEGANE,,,Masculino,59,
75,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,59,
76,CONDUCTOR,CAMIONETA,RENAULT,KANGOO,,,Masculino,50,
77,CONDUCTOR,AUTO PARTICULAR,FIAT,PALIO,,,Masculino,32,
78,CONDUCTOR,UTILITARIO,RENAULT,KANGOO,,,Masculino,45,
79,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,BORA,,,Masculino,59,
80,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,31,
81,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,207,,,Masculino,46,
82,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,29,
83,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,54,
83,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CORSA,,,Masculino,31,
84,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,GOLF,,,Masculino,73,
85,CONDUCTOR,CAMIONETA,MERCEDES BENZ,915,,,Masculino,42,
86,CONDUCTOR,MOTO,HONDA,TWISTER,,,Masculino,51,
